rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,time_delta_previous_rental_groups,early_or_late_groups
1426,546406,310518,mobile,ended,-8.0,545465.0,330.0,time delta > 45 min,early less than 45 min
1471,526111,377781,mobile,ended,-2.0,539387.0,660.0,time delta > 45 min,early less than 45 min
1513,535030,407334,mobile,ended,69.0,537148.0,60.0,time delta > 45 min,late btw 45 min and 2 hour
1516,536022,383329,mobile,ended,14.0,539569.0,120.0,time delta > 45 min,late <= 45 min
1521,536374,308579,mobile,ended,-59.0,537187.0,120.0,time delta > 45 min,early more than 45 min
1543,538330,379984,mobile,ended,31.0,532790.0,0.0,time delta btw 0 and 45 min,late <= 45 min
1559,539625,337217,mobile,ended,-95.0,537192.0,270.0,time delta > 45 min,early more than 45 min
1578,535749,403430,mobile,ended,-74.0,536548.0,0.0,time delta btw 0 and 45 min,early more than 45 min
1630,539370,402235,mobile,ended,-105.0,542031.0,120.0,time delta > 45 min,early more than 45 min
1706,518569,277669,mobile,ended,14.0,523594.0,480.0,time delta > 45 min,late <= 45 min
1753,547062,396552,mobile,ended,27.0,513104.0,90.0,time delta > 45 min,late <= 45 min
1761,547655,375834,mobile,ended,89.0,548169.0,0.0,time delta btw 0 and 45 min,late btw 45 min and 2 hour
1774,548863,409344,mobile,ended,7.0,547160.0,300.0,time delta > 45 min,late <= 45 min
1775,548864,396250,mobile,ended,527.0,550060.0,120.0,time delta > 45 min,late btw 6h and 1 day
1790,550095,298757,connect,ended,-14.0,548361.0,630.0,time delta > 45 min,early less than 45 min
1799,550504,405611,connect,ended,59.0,562977.0,630.0,time delta > 45 min,late btw 45 min and 2 hour
1802,550564,333910,mobile,ended,-9.0,542509.0,120.0,time delta > 45 min,early less than 45 min
1808,550832,358082,connect,ended,34.0,549771.0,90.0,time delta > 45 min,late <= 45 min
1835,540784,310576,connect,ended,54.0,536453.0,0.0,time delta btw 0 and 45 min,late btw 45 min and 2 hour
1857,541926,409589,mobile,ended,4.0,538736.0,150.0,time delta > 45 min,late <= 45 min
1874,545532,387939,connect,ended,7.0,546352.0,300.0,time delta > 45 min,late <= 45 min
1914,548933,355788,mobile,ended,-182.0,549479.0,720.0,time delta > 45 min,early more than 45 min
1928,549467,372779,mobile,ended,-62.0,547247.0,240.0,time delta > 45 min,early more than 45 min
1929,549471,334190,connect,ended,-89.0,554043.0,630.0,time delta > 45 min,early more than 45 min
1970,551707,404424,mobile,ended,105.0,550671.0,0.0,time delta btw 0 and 45 min,late btw 45 min and 2 hour
1977,548814,338940,mobile,ended,11.0,531952.0,450.0,time delta > 45 min,late <= 45 min
1992,549917,389958,mobile,ended,9.0,557743.0,720.0,time delta > 45 min,late <= 45 min
2013,551686,383110,connect,ended,-11.0,547672.0,150.0,time delta > 45 min,early less than 45 min
2030,552756,374684,mobile,ended,-56.0,547550.0,600.0,time delta > 45 min,early more than 45 min
2086,552049,404192,mobile,ended,1392.0,551936.0,150.0,time delta > 45 min,late btw 6h and 1 day
2087,552230,338940,mobile,ended,233.0,513740.0,30.0,time delta btw 0 and 45 min,late btw 3 and 4 hours
2113,553939,402528,connect,ended,-99.0,558730.0,0.0,time delta btw 0 and 45 min,early more than 45 min
2116,554170,402209,mobile,ended,-125.0,564541.0,390.0,time delta > 45 min,early more than 45 min
2119,554505,402562,connect,ended,-47.0,554934.0,0.0,time delta btw 0 and 45 min,early more than 45 min
2122,554791,382734,mobile,ended,-54.0,554944.0,720.0,time delta > 45 min,early more than 45 min
2127,555087,341105,mobile,ended,-152.0,541340.0,600.0,time delta > 45 min,early more than 45 min
2130,555116,339607,mobile,ended,-8.0,553008.0,720.0,time delta > 45 min,early less than 45 min
2139,555821,326578,mobile,ended,1143.0,558583.0,0.0,time delta btw 0 and 45 min,late btw 6h and 1 day
2159,557318,334190,connect,ended,158.0,556215.0,660.0,time delta > 45 min,late btw 2 and 3 hours
2172,558448,383110,connect,ended,64.0,554348.0,150.0,time delta > 45 min,late btw 45 min and 2 hour
2186,559430,357530,connect,ended,-7.0,558258.0,0.0,time delta btw 0 and 45 min,early less than 45 min
2231,521076,380708,connect,ended,103.0,539450.0,210.0,time delta > 45 min,late btw 45 min and 2 hour
2264,531247,392368,connect,ended,-32.0,550614.0,60.0,time delta > 45 min,early less than 45 min
2318,538564,393185,mobile,ended,-36.0,531229.0,0.0,time delta btw 0 and 45 min,early less than 45 min
2332,539838,295415,mobile,ended,2.0,541223.0,390.0,time delta > 45 min,late <= 45 min
2350,541281,397046,mobile,ended,14.0,537194.0,210.0,time delta > 45 min,late <= 45 min
2361,541964,356106,connect,ended,-9.0,543577.0,0.0,time delta btw 0 and 45 min,early less than 45 min
2374,542781,309723,mobile,ended,297.0,541286.0,30.0,time delta btw 0 and 45 min,late btw 4 and 6 hours
2399,544363,409750,mobile,ended,-81.0,539021.0,120.0,time delta > 45 min,early more than 45 min
2407,544317,361564,mobile,ended,-8.0,530202.0,120.0,time delta > 45 min,early less than 45 min
2437,545980,396009,connect,ended,1.0,549819.0,60.0,time delta > 45 min,late <= 45 min
2451,546792,230201,connect,ended,-32.0,546832.0,0.0,time delta btw 0 and 45 min,early less than 45 min
2454,546893,385629,connect,ended,-169.0,541445.0,0.0,time delta btw 0 and 45 min,early more than 45 min
2455,546955,398802,mobile,ended,25.0,543655.0,360.0,time delta > 45 min,late <= 45 min
2487,534856,319886,connect,ended,-40.0,556396.0,0.0,time delta btw 0 and 45 min,early less than 45 min
2497,535326,377509,mobile,ended,-6.0,539365.0,60.0,time delta > 45 min,early less than 45 min
2509,536107,385721,connect,ended,62.0,525106.0,570.0,time delta > 45 min,late btw 45 min and 2 hour
2538,557368,375553,mobile,ended,11.0,549518.0,720.0,time delta > 45 min,late <= 45 min
2547,557878,386786,mobile,ended,5.0,553306.0,360.0,time delta > 45 min,late <= 45 min
2556,558634,380019,mobile,ended,183.0,546644.0,420.0,time delta > 45 min,late btw 3 and 4 hours
2563,559213,290109,mobile,ended,-25.0,565976.0,600.0,time delta > 45 min,early less than 45 min
2571,559756,405923,mobile,ended,-27.0,566173.0,120.0,time delta > 45 min,early less than 45 min
2626,564693,408680,mobile,ended,-23.0,553639.0,0.0,time delta btw 0 and 45 min,early less than 45 min
