rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,time_delta_previous_rental_groups,late_groups
113,547188,231676,mobile,ended,266.0,535868.0,30.0,time delta btw 0 and 2 hours,late btw 4 and 6 hours
114,547198,381684,mobile,ended,145.0,,,time delta > 2 hours,late btw 2 and 3 hours
115,547223,188944,connect,ended,8.0,,,time delta > 2 hours,late <= 1 hour
116,547348,374614,mobile,ended,74.0,,,time delta > 2 hours,late btw 1 and 2 hours
117,547557,408406,mobile,ended,126.0,,,time delta > 2 hours,late btw 2 and 3 hours
118,548028,409718,mobile,ended,15.0,,,time delta > 2 hours,late <= 1 hour
119,548352,409458,mobile,ended,195.0,,,time delta > 2 hours,late btw 3 and 4 hours
120,548646,282893,mobile,ended,201.0,,,time delta > 2 hours,late btw 3 and 4 hours
121,548702,406104,mobile,ended,21.0,,,time delta > 2 hours,late <= 1 hour
122,548912,411521,mobile,ended,225.0,553683.0,60.0,time delta btw 0 and 2 hours,late btw 3 and 4 hours
123,549340,181607,mobile,ended,381.0,,,time delta > 2 hours,late btw 6h and 1 day
124,549345,369881,connect,ended,22.0,,,time delta > 2 hours,late <= 1 hour
125,549444,177058,mobile,ended,144.0,,,time delta > 2 hours,late btw 2 and 3 hours
126,549446,391174,mobile,ended,69.0,,,time delta > 2 hours,late btw 1 and 2 hours
127,549499,408814,mobile,ended,19.0,,,time delta > 2 hours,late <= 1 hour
128,549558,328016,mobile,ended,10.0,,,time delta > 2 hours,late <= 1 hour
129,549808,310219,connect,ended,54.0,,,time delta > 2 hours,late <= 1 hour
130,549874,409690,mobile,ended,3.0,,,time delta > 2 hours,late <= 1 hour
131,549901,383481,mobile,ended,201.0,,,time delta > 2 hours,late btw 3 and 4 hours
132,549923,407730,mobile,ended,167.0,,,time delta > 2 hours,late btw 2 and 3 hours
133,550211,407838,mobile,ended,20.0,,,time delta > 2 hours,late <= 1 hour
134,550459,295815,mobile,ended,82.0,,,time delta > 2 hours,late btw 1 and 2 hours
135,550537,239798,connect,ended,37.0,,,time delta > 2 hours,late <= 1 hour
136,551040,383343,mobile,ended,40.0,,,time delta > 2 hours,late <= 1 hour
137,551108,291723,mobile,ended,211.0,,,time delta > 2 hours,late btw 3 and 4 hours
138,551128,382939,mobile,ended,97.0,,,time delta > 2 hours,late btw 1 and 2 hours
