rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,time_delta_previous_rental_groups,early_groups
137,556608,368275,mobile,ended,-12.0,,,time delta > 2 hours,early less than 2 hours
138,556648,332548,mobile,ended,-581.0,,,time delta > 2 hours,early more than 2 hours
139,557314,383126,mobile,ended,-16.0,,,time delta > 2 hours,early less than 2 hours
140,557572,383139,mobile,ended,-85.0,,,time delta > 2 hours,early less than 2 hours
141,557913,351021,mobile,ended,-4.0,,,time delta > 2 hours,early less than 2 hours
142,558047,396746,mobile,ended,-25.0,,,time delta > 2 hours,early less than 2 hours
143,558088,245154,connect,ended,-40.0,566170.0,180.0,time delta > 2 hours,early less than 2 hours
144,558250,375126,connect,ended,-4.0,549813.0,600.0,time delta > 2 hours,early less than 2 hours
145,558525,297962,connect,ended,-256.0,555341.0,30.0,time delta btw 0 and 2 hours,early more than 2 hours
146,558759,368753,connect,ended,-126.0,,,time delta > 2 hours,early more than 2 hours
147,558974,321069,mobile,ended,-5.0,,,time delta > 2 hours,early less than 2 hours
148,559428,289720,connect,ended,-16.0,520878.0,90.0,time delta btw 0 and 2 hours,early less than 2 hours
149,559924,376064,mobile,ended,-3.0,,,time delta > 2 hours,early less than 2 hours
150,560005,301068,mobile,ended,-78.0,,,time delta > 2 hours,early less than 2 hours
151,560720,404020,mobile,ended,-14.0,,,time delta > 2 hours,early less than 2 hours
152,560884,410068,mobile,ended,-41.0,,,time delta > 2 hours,early less than 2 hours
153,561054,387845,mobile,ended,-18.0,,,time delta > 2 hours,early less than 2 hours
154,561157,373726,mobile,ended,-14.0,,,time delta > 2 hours,early less than 2 hours
155,561269,389467,mobile,ended,-21.0,,,time delta > 2 hours,early less than 2 hours
156,561285,392479,mobile,ended,-40.0,,,time delta > 2 hours,early less than 2 hours
157,561366,305917,mobile,ended,-104.0,,,time delta > 2 hours,early less than 2 hours
158,561368,249274,connect,ended,-3.0,558711.0,30.0,time delta btw 0 and 2 hours,early less than 2 hours
159,561408,310444,connect,ended,-54.0,545475.0,360.0,time delta > 2 hours,early less than 2 hours
160,561706,395613,mobile,ended,-38.0,,,time delta > 2 hours,early less than 2 hours
161,561726,409636,mobile,ended,-208.0,,,time delta > 2 hours,early more than 2 hours
162,562090,404542,mobile,ended,-35.0,,,time delta > 2 hours,early less than 2 hours
163,562291,404133,connect,ended,-709.0,,,time delta > 2 hours,early more than 2 hours
164,562409,410088,mobile,ended,-30.0,,,time delta > 2 hours,early less than 2 hours
165,562807,310571,mobile,ended,-14.0,,,time delta > 2 hours,early less than 2 hours
166,563003,310828,mobile,ended,-444.0,,,time delta > 2 hours,early more than 2 hours
167,563157,371572,connect,ended,-83.0,,,time delta > 2 hours,early less than 2 hours
168,563509,349894,connect,ended,-432.0,,,time delta > 2 hours,early more than 2 hours
169,563519,225602,mobile,ended,-16.0,,,time delta > 2 hours,early less than 2 hours
170,563998,409663,mobile,ended,-47.0,,,time delta > 2 hours,early less than 2 hours
171,564642,340833,mobile,ended,-20.0,,,time delta > 2 hours,early less than 2 hours
172,564844,297962,connect,ended,-167.0,,,time delta > 2 hours,early more than 2 hours
173,565108,354331,mobile,ended,-55.0,,,time delta > 2 hours,early less than 2 hours
174,565143,381435,mobile,ended,-100.0,,,time delta > 2 hours,early less than 2 hours
175,565205,406475,mobile,ended,-80.0,,,time delta > 2 hours,early less than 2 hours
176,565540,281518,mobile,ended,-43.0,,,time delta > 2 hours,early less than 2 hours
177,505091,213807,connect,ended,-155.0,,,time delta > 2 hours,early more than 2 hours
178,505567,308565,mobile,ended,-3.0,,,time delta > 2 hours,early less than 2 hours
179,506321,393781,connect,ended,-1.0,,,time delta > 2 hours,early less than 2 hours
180,506970,226932,mobile,ended,-10.0,,,time delta > 2 hours,early less than 2 hours
181,512237,382279,mobile,ended,-10.0,,,time delta > 2 hours,early less than 2 hours
182,514673,402194,mobile,ended,-52.0,,,time delta > 2 hours,early less than 2 hours
183,516244,349131,mobile,ended,-34.0,,,time delta > 2 hours,early less than 2 hours
