rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,time_delta_previous_rental_groups
131,542203,388268,mobile,ended,69.0,,,time delta > 2 hours
132,542222,207728,mobile,ended,156.0,,,time delta > 2 hours
133,542339,322005,mobile,ended,12.0,,,time delta > 2 hours
134,542374,409676,mobile,ended,50.0,540444.0,180.0,time delta > 2 hours
135,542400,315909,mobile,ended,-7.0,,,time delta > 2 hours
136,542520,401751,mobile,ended,183.0,,,time delta > 2 hours
137,542661,391512,mobile,ended,-170.0,,,time delta > 2 hours
138,542894,218964,mobile,ended,-36.0,,,time delta > 2 hours
139,542942,358082,connect,ended,-106.0,,,time delta > 2 hours
140,543012,393044,mobile,ended,9.0,,,time delta > 2 hours
141,543050,379428,mobile,ended,-21.0,,,time delta > 2 hours
142,543088,200316,mobile,ended,64.0,,,time delta > 2 hours
143,543150,410052,mobile,ended,23.0,,,time delta > 2 hours
144,543180,350521,mobile,ended,14.0,,,time delta > 2 hours
145,543186,395671,mobile,ended,5.0,,,time delta > 2 hours
146,543243,344149,mobile,ended,300.0,,,time delta > 2 hours
147,543251,409296,mobile,ended,-18.0,,,time delta > 2 hours
148,543287,377312,mobile,ended,12.0,,,time delta > 2 hours
149,543321,371572,connect,ended,48.0,,,time delta > 2 hours
150,543328,358772,connect,ended,-9.0,552619.0,240.0,time delta > 2 hours
151,543437,409808,mobile,ended,-57.0,,,time delta > 2 hours
152,543443,356551,connect,ended,-529.0,,,time delta > 2 hours
153,543464,399161,mobile,ended,670.0,,,time delta > 2 hours
154,543614,378939,mobile,ended,-1087.0,,,time delta > 2 hours
155,543676,390481,mobile,ended,-53.0,,,time delta > 2 hours
156,543679,225795,connect,ended,64.0,540663.0,540.0,time delta > 2 hours
157,543681,368432,mobile,ended,2.0,,,time delta > 2 hours
158,543761,294189,mobile,ended,24.0,,,time delta > 2 hours
159,543780,319708,mobile,ended,55.0,,,time delta > 2 hours
160,543808,369230,mobile,ended,75.0,536315.0,60.0,time delta btw 0 and 2 hours
161,543984,313085,mobile,ended,-44.0,,,time delta > 2 hours
162,544164,301301,connect,ended,-244.0,,,time delta > 2 hours
163,544167,306607,connect,ended,337.0,,,time delta > 2 hours
164,544197,387939,connect,ended,39.0,,,time delta > 2 hours
165,544443,337047,mobile,ended,56.0,,,time delta > 2 hours
166,544586,312389,mobile,ended,31.0,,,time delta > 2 hours
167,544617,367627,mobile,ended,-23.0,,,time delta > 2 hours
168,544763,394781,mobile,ended,233.0,,,time delta > 2 hours
169,544777,387810,connect,ended,50.0,,,time delta > 2 hours
170,544937,348400,mobile,ended,108.0,,,time delta > 2 hours
171,544967,373545,mobile,ended,56.0,,,time delta > 2 hours
172,544980,350135,mobile,ended,-2.0,,,time delta > 2 hours
173,545064,194343,connect,ended,74.0,,,time delta > 2 hours
174,545068,374684,mobile,ended,-31.0,,,time delta > 2 hours
175,545171,292910,mobile,ended,7.0,,,time delta > 2 hours
176,545214,363658,mobile,ended,302.0,,,time delta > 2 hours
177,545272,370585,connect,ended,-98.0,,,time delta > 2 hours
178,545319,353251,mobile,ended,93.0,,,time delta > 2 hours
179,545320,224133,mobile,ended,20.0,,,time delta > 2 hours
180,545438,393172,connect,ended,-467.0,,,time delta > 2 hours
181,545741,409096,mobile,ended,20.0,,,time delta > 2 hours
182,545763,366310,mobile,ended,69.0,,,time delta > 2 hours
183,545782,382901,mobile,ended,-9.0,,,time delta > 2 hours
